Country name,Regional indicator,Continent,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder score normalised,Logged GDP per capita normalised,Social support normalised,Healthy life expectancy normalised,Freedom to make life choices normalised,Generosity normalised,Perceptions of corruption normalised
Egypt,Middle East and North Africa,Africa,4.283,0.045,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,0.795,2.43,0.954,0.647,0.426,0.446,0.069,0.092,1.648,3.308892649,5.450917797,5.519230769,4.748024583,6.241496599,1.277108434,8.319719953
El Salvador,Latin America and Caribbean,North America,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,6.651626246,4.8264166,5.75,6.294644425,8.605442177,2.144578313,7.07117853
Estonia,Central and Eastern Europe,Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,6.892272984,7.6735834,9.192307692,7.136786655,8.962585034,2.192771084,5.192532089
Ethiopia,Sub-Saharan Africa,Africa,4.275,0.051,4.374,4.175,7.694,0.764,59,0.752,0.082,0.761,2.43,0.37,0.679,0.331,0.451,0.241,0.114,2.089,3.293852228,2.11292897,5.788461538,3.695171203,6.292517007,4.457831325,7.922987165
Finland,Western Europe,Europe,7.842,0.032,7.904,7.78,10.775,0.954,72,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,10,8.260175579,9.442307692,8.260579456,9.642857143,2.289156627,1.213535589
France,Western Europe,Europe,6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,7.834179357,8.118515563,9.211538462,8.962949956,7.482993197,1.698795181,5.705950992
Gabon,Sub-Saharan Africa,Africa,4.852,0.075,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,0.84,2.43,1.037,0.707,0.362,0.424,0.058,0.064,2.201,4.378642602,5.921787709,6.019230769,4.033011414,5.93537415,1.060240964,8.844807468
Gambia,Sub-Saharan Africa,Africa,5.051,0.089,5.225,4.877,7.686,0.69,55.16,0.697,0.424,0.746,2.43,0.367,0.511,0.21,0.384,0.465,0.123,2.99,4.752773078,2.096967279,4.365384615,2.346619842,5.357142857,8.578313253,7.747957993
Georgia,Commonwealth of Independent States,Europe,4.891,0.054,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,0.655,2.43,1.03,0.47,0.498,0.488,0.032,0.181,2.191,4.451964655,5.885873903,4,5.556453029,6.819727891,0.602409639,6.686114352
Germany,Western Europe,Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,8.708403835,8.455706305,8.461538462,8.436172081,8.384353741,3.602409639,4.410735123
Ghana,Sub-Saharan Africa,Africa,5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,4.822335025,3.880686353,5.076923077,3.198595259,7.227891156,4.951807229,8.938156359
Greece,Western Europe,Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0,0.074,2.561,6.016168453,7.270550678,6.923076923,8.471290606,3.401360544,0,8.646441074
Guatemala,Latin America and Caribbean,North America,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,7.354765933,4.824421389,6.730769231,5.787532924,8.911564626,3.012048193,8.086347725
Guinea,Sub-Saharan Africa,Africa,4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,4.626809551,2.400239425,3.384615385,2.293239684,5.357142857,4.614457831,7.981330222
Haiti,Latin America and Caribbean,North America,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,2.053017484,1.679968077,1.480769231,2.536259877,3.588435374,8.554216867,7.456242707
Honduras,Latin America and Caribbean,North America,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,6.38465877,4.016360734,6.711538462,6.61000878,8.078231293,4.445783133,8.483080513
Hong Kong S.A.R. of China,East Asia,Asia,5.477,0.049,5.573,5.38,11,0.836,76.82,0.717,0.067,0.403,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236,5.553675503,8.709098164,7.173076923,9.953292362,5.697278912,4.277108434,3.745624271
Hungary,Central and Eastern Europe,Europe,5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,6.521902613,7.428172386,9.230769231,6.855838455,6.343537415,1.228915663,9.26487748
Iceland,Western Europe,Europe,7.554,0.059,7.67,7.438,10.878,0.983,73,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,9.458544839,8.465682362,10,8.611764706,9.744897959,5.397590361,6.896149358
India,South Asia,Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,2.436548223,4.229848364,2.692307692,4.268656716,8.69047619,4.542168675,8.074679113
Indonesia,Southeast Asia,Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,5.305508554,5.446927374,6.692307692,4.831606673,8.350340136,10,9.159859977
Iran,Middle East and North Africa,Asia,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,4.132355706,5.883878691,4.75,6.258823529,3.843537415,6.096385542,7.374562427
Iraq,Middle East and North Africa,Asia,4.854,0.059,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,4.382402707,5.197525938,5.442307692,4.251097454,4.217687075,2.831325301,9.253208868
Ireland,Western Europe,Europe,7.085,0.04,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363,2.43,1.644,1.092,0.753,0.606,0.238,0.367,2.384,8.57680015,9.391460495,9.307692308,8.401053556,8.452380952,4.397590361,3.278879813
Israel,Middle East and North Africa,Asia,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,8.712163941,7.86113328,9.153846154,8.788410887,7.108843537,3.843373494,7.829638273
Italy,Western Europe,Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,7.44500846,7.956903432,8.019230769,8.892712906,5.289115646,2.457831325,9.148191365
Ivory Coast,Sub-Saharan Africa,Africa,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,5.232186501,3.822825219,3.480769231,0.574539069,6.105442177,3.277108434,8.308051342
Jamaica,Latin America and Caribbean,North America,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,7.117879301,5.089784517,7.961538462,6.68024583,8.639455782,1.819277108,9.358226371
Japan,East Asia,Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,6.424139876,7.932960894,8.096153846,9.349253731,7.040816327,0.361445783,6.487747958
Jordan,Middle East and North Africa,Asia,4.395,0.062,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,3.519458545,5.081803671,5.846153846,6.504653205,6.343537415,1.457831325,7.269544924
Kazakhstan,Commonwealth of Independent States,Europe,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,6.822711036,7.023144453,9.403846154,5.872519754,8.010204082,2.638554217,7.596266044
Kenya,Sub-Saharan Africa,Africa,4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,3.918029705,3.443735036,4.326923077,4.293590869,6.75170068,6.927710843,8.669778296
Kosovo,Central and Eastern Europe,Europe,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,7.236322617,5.353152434,6.884615385,5.385425812,8.282312925,6.56626506,9.743290548
Kuwait,Middle East and North Africa,Asia,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,6.736228614,8.343974461,7.307692308,6.46953468,8.24829932,2.21686747,7.631271879
Kyrgyzstan,Commonwealth of Independent States,Asia,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,6.055649558,3.79688747,8.269230769,5.591922739,9.404761905,4.903614458,9.638273046
Laos,Southeast Asia,Asia,5.03,0.045,5.119,4.941,8.947,0.728,58.968,0.91,0.123,0.658,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,4.713291972,4.61292897,5.096153846,3.683933275,8.979591837,4.951807229,6.721120187
Latvia,Central and Eastern Europe,Europe,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,6.597104719,7.342378292,8.923076923,6.53977173,5.663265306,1.518072289,8.378063011
Lebanon,Middle East and North Africa,Asia,4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,3.874788494,5.967677574,7.403846154,6.629323968,2.431972789,2.590361446,9.521586931
Lesotho,Sub-Saharan Africa,Africa,3.512,0.12,3.748,3.276,7.926,0.787,48.7,0.715,-0.131,0.915,2.43,0.451,0.731,0.007,0.405,0.103,0.015,1.8,1.859372062,2.575818037,6.230769231,0.077963126,5.663265306,1.891566265,9.719953326
Liberia,Sub-Saharan Africa,Africa,4.625,0.106,4.833,4.417,7.288,0.72,56.498,0.735,0.05,0.85,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,3.951870652,1.302873105,4.942307692,2.816505707,6.003401361,4.072289157,8.961493582
Libya,Middle East and North Africa,Africa,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,5.427711976,5.959696728,7,4.854082529,6.615646259,2.421686747,6.82613769
Lithuania,Central and Eastern Europe,Europe,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,7.016356458,7.709497207,9.076923077,6.822827041,6.649659864,1.024096386,8.681446908
Luxembourg,Western Europe,Europe,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,9.026132732,10,8.557692308,8.471290606,8.928571429,3.060240964,3.547257876
Macedonia,Central and Eastern Europe,Europe,5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,4.84677571,6.101356744,6.576923077,5.968744513,6.275510204,3.927710843,9.603267211
Madagascar,Sub-Saharan Africa,Africa,4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,3.167888701,1.518355946,4.288461538,3.802282704,2.891156463,3.409638554,8.413068845
Malawi,Sub-Saharan Africa,Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,2.024816695,0.644453312,1.423076923,3.32572432,6.768707483,3.927710843,7.549591599
Malaysia,Southeast Asia,Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,5.378830607,7.188747007,6.807692308,6.5404741,8.724489796,4.975903614,8.833138856
Maldives,South Asia,Asia,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,5.029140816,6.366719872,8.653846154,7.768920105,8.027210884,3.759036145,8.669778296
Mali,Sub-Saharan Africa,Africa,4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,4.136115811,2.212689545,5.019230769,1.225987709,5.357142857,3.036144578,8.693115519
Malta,Western Europe,Europe,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,7.668734725,8.058659218,9,8.330816506,9.268707483,5.072289157,6.66277713
Mauritania,Sub-Saharan Africa,Africa,4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,3.203609701,3.804868316,6.384615385,3.049341528,3.044217687,2.192771084,7.572928821
Mauritius,Sub-Saharan Africa,Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,6.629065614,6.729848364,8.5,6.399648815,8.24829932,2.819277108,8.249708285
Mexico,Latin America and Caribbean,North America,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,7.132919722,6.432561852,7.076923077,7.065496049,8.163265306,1.698795181,8.366394399
Moldova,Commonwealth of Independent States,Europe,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,6.097010716,5.624501197,7.576923077,6.047761194,7.482993197,2.518072289,9.75495916
Mongolia,East Asia,Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,5.929686031,5.516759777,9.076923077,4.924319579,5.544217687,4.86746988,9.031505251
Montenegro,Central and Eastern Europe,Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,5.749200978,6.594173982,7.596153846,7.101316945,5.544217687,3.060240964,8.518086348
Morocco,Middle East and North Africa,Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,4.502726076,4.525139665,1.865384615,6.226514486,6.666666667,0.626506024,8.389731622
Mozambique,Sub-Saharan Africa,Africa,4.794,0.103,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783,4.269599549,1.043495611,5.403846154,2.187181738,8.503401361,4.204819277,7.024504084
Myanmar,Southeast Asia,Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,3.577740177,3.802873105,6.076923077,3.801229148,8.401360544,9.602409639,6.74445741
Namibia,Sub-Saharan Africa,Africa,4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,3.855987968,5.03990423,6.826923077,2.922212467,5.731292517,1.674698795,8.926487748
Nepal,South Asia,Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,5.162624553,2.962889066,5.980769231,5.532923617,6.802721088,5.301204819,7.526254376
Netherlands,Western Europe,Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,9.289340102,8.573423783,9.211538462,8.401053556,9.030612245,5.578313253,2.987164527
New Zealand,North America and ANZ,Oceania,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,8.937770258,7.996807662,9.326923077,8.752238806,9.302721088,5.084337349,1.86697783
Nicaragua,Latin America and Caribbean,North America,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,6.48430156,3.960494812,7.711538462,6.735381914,7.721088435,3.710843373,6.791131855
