Factor,Continent,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption
Netherlands,Europe,0.857342378,0.921153846,0.840105356,0.903061224,0.557831325,0.298716453
New Zealand,Oceania,0.799680766,0.932692308,0.875223881,0.930272109,0.508433735,0.186697783
Nicaragua,North America,0.396049481,0.771153846,0.673538191,0.772108844,0.371084337,0.679113186
Niger,Africa,0.092378292,0.342307692,0.18619842,0.721088435,0.368674699,0.712952159
Nigeria,Africa,0.378691141,0.532692308,0.057032485,0.603741497,0.391566265,0.92882147
Northern Cyprus,Europe,0.786312849,0.686538462,0.892712906,0.702380952,0.361445783,0.634772462
Macedonia,Europe,0.610135674,0.657692308,0.596874451,0.62755102,0.392771084,0.960326721
Norway,Asia,0.881484437,0.944230769,0.871712028,0.982993197,0.459036145,0.219369895
Pakistan,Asia,0.363727055,0.361538462,0.359297629,0.585034014,0.465060241,0.822637106
Palestine,North America,0.369114126,0.698076923,0.483652327,0.460884354,0.15060241,0.862310385
Panama,South America,0.741221069,0.832692308,0.743599649,0.833333333,0.146987952,0.903150525
Paraguay,South America,0.561252993,0.826923077,0.611834943,0.840136054,0.380722892,0.933488915
Peru,Asia,0.563248204,0.709615385,0.694363477,0.74829932,0.161445783,0.943990665
Philippines,Europe,0.487031125,0.705769231,0.474872695,0.909863946,0.230120482,0.770128355
Poland,Europe,0.747605746,0.836538462,0.745355575,0.780612245,0.148192771,0.761960327
Portugal,Africa,0.755387071,0.8,0.847129061,0.867346939,0.053012048,0.939323221
Romania,Europe,0.728052674,0.709615385,0.662932397,0.787414966,0.08313253,0.998833139
Russia,Europe,0.709098164,0.846153846,0.569798068,0.571428571,0.213253012,0.890315053
Rwanda,Europe,0.207701516,0.171153846,0.45380158,0.87585034,0.420481928,0.099183197
Saudi Arabia,Africa,0.819632881,0.823076923,0.636523266,0.841836735,0.16746988,0.702450408
Senegal,Asia,0.295889864,0.475,0.397682177,0.532312925,0.291566265,0.838973162
Republic of Serbia,Africa,0.628890662,0.788461538,0.70665496,0.673469388,0.34939759,0.878646441
Sierra Leone,Africa,0.159417398,0.321153846,0.11143108,0.569727891,0.448192771,0.914819137
Singapore,Asia,0.968276137,0.869230769,1,0.926870748,0.325301205,0
Slovakia,Europe,0.745011971,0.909615385,0.727761194,0.653061224,0.197590361,0.967327888
Slovenia,Europe,0.776935355,0.932692308,0.804986831,0.964285714,0.225301205,0.844807468
South Africa,Africa,0.552274541,0.763461538,0.295908692,0.62414966,0.26626506,0.90781797
South Korea,Asia,0.801276935,0.646153846,0.892783143,0.493197279,0.246987952,0.752625438
Spain,Europe,0.785315243,0.901923077,0.920877963,0.644557823,0.24939759,0.773628938
Sri Lanka,Asia,0.565642458,0.7,0.660965759,0.780612245,0.442168675,0.911318553
Swaziland,Africa,0.484836393,0.590384615,0.082704126,0.450680272,0.124096386,0.730455076
Sweden,Europe,0.844373504,0.905769231,0.850640913,0.957482993,0.45060241,0.180863477
Switzerland,Europe,0.894253791,0.921153846,0.910342406,0.913265306,0.377108434,0.24504084
Taiwan,Asia,0.845171588,0.836538462,0.741773486,0.683673469,0.262650602,0.745624271
Tajikistan,Asia,0.290502793,0.763461538,0.554978051,0.765306122,0.279518072,0.549591599
United Republic of Tanzania,Asia,0.247605746,0.459615385,0.334363477,0.767006803,0.56746988,0.577596266
Thailand,Africa,0.632482043,0.817307692,0.664547849,0.853741497,0.692771084,0.94865811
Togo,Africa,0.145051875,0.203846154,0.226022827,0.403061224,0.385542169,0.805134189
Tunisia,Asia,0.524940144,0.438461538,0.657524144,0.465986395,0.104819277,0.919486581
Turkey,Asia,0.719273743,0.690384615,0.657453907,0.329931973,0.179518072,0.809801634
Turkmenistan,Africa,0.597366321,1,0.489236172,0.841836735,0.675903614,0.940490082
Uganda,Europe,0.207901038,0.611538462,0.267708516,0.556122449,0.493975904,0.901983664
Ukraine,Asia,0.558858739,0.817307692,0.576786655,0.581632653,0.33373494,0.982497083
United Arab Emirates,Europe,0.887869114,0.732692308,0.662159789,0.93537415,0.436144578,0.5915986
United Kingdom,Africa,0.81245012,0.905769231,0.843617208,0.81122449,0.627710843,0.439906651
United States of America,North America,0.875498803,0.878846154,0.69260755,0.773809524,0.465060241,0.718786464
Uruguay,South America,0.664604948,0.888461538,0.724214223,0.87414966,0.236144578,0.592765461
Uzbekistan,Asia,0.439146049,0.875,0.589183494,1,0.721686747,0.505250875
Venezuela,South America,0.486432562,0.765384615,0.639929763,0.396258503,0.143373494,0.869311552
Vietnam,Asia,0.466480447,0.744230769,0.686777875,0.948979592,0.228915663,0.833138856
Yemen,Asia,0.188148444,0.709615385,0.30356453,0.37414966,0.169879518,0.837806301
Zambia,Africa,0.301276935,0.471153846,0.257453907,0.680272109,0.420481928,0.864644107
Zimbabwe,Africa,0.260973663,0.551923077,0.271220369,0.50170068,0.290361446,0.862310385
